47	100
9365	9490	0	0	1	1
9628	9804	0	1	1	1
9898	17510	0	1	2	1
17626	25463	0	1	1	1
25514	26903	0	1	1	1
27051	28316	0	0	2	1
28488	28899	0	1	2	1
28976	30100	0	0	4	1
30203	32099	0	1	1	1
32155	33994	0	2	2	1
34051	34470	0	0	1	1
34535	39443	0	0	1	1
39532	44825	0	1	1	1
44910	46446	0	1	3	1
46518	48686	0	0	0	1
48793	52847	0	1	0	1
52982	54242	0	1	0	1
67072	67256	0	1	0	1
67616	71915	0	0	1	1
72008	77545	0	1	0	1
77649	89125	0	0	0	1
89263	90314	0	1	0	1
90429	91253	0	0	1	1
91753	95135	0	0	0	1
95207	95935	0	0	0	1
96064	97412	0	2	2	1
97533	98163	0	1	0	1
98278	99696	0	1	3	1
99841	105178	0	1	2	1
105231	106558	0	0	0	1
106601	107135	0	1	2	1
108671	112432	0	2	1	1
112681	113402	0	1	0	1
113491	114626	0	3	1	1
123998	124321	0	1	1	1
124872	124963	0	0	3	1
128393	136406	0	0	3	1
136502	145682	0	0	0	1
145781	146624	0	1	0	1
146735	147211	0	2	0	1
147357	148369	0	1	0	1
148548	150720	0	0	1	1
150812	151680	0	1	3	1
151711	152516	0	1	1	1
152712	158402	0	1	4	1
164108	165542	0	1	0	2
165776	167817	0	0	4	2
