1	9366	9491	+
1	9630	9806	+
1	9900	17512	+
1	17628	25465	+
1	25516	26905	+
1	27052	28317	+
1	28490	28901	+
1	28977	30101	+
1	30205	32101	+
1	32158	33997	+
1	34052	34471	+
1	34536	39444	+
1	39534	44827	+
1	44912	46448	+
1	46519	48687	+
1	48795	52849	+
1	52984	54244	+
1	67074	67258	+
1	67617	71916	+
1	72010	77547	+
1	77650	89126	+
1	89265	90316	+
1	90430	91254	+
1	91754	95136	+
1	95208	95936	+
1	96067	97415	+
1	97535	98165	+
1	98280	99698	+
1	99843	105180	+
1	105232	106559	+
1	106603	107137	+
1	108674	112435	+
1	112683	113404	+
1	113495	114630	+
1	124000	124323	+
1	124873	124964	+
1	128394	136407	+
1	136503	145683	+
1	145783	146626	+
1	146738	147214	+
1	147359	148371	+
1	148549	150721	+
1	150814	151682	+
1	151713	152518	+
1	152714	158404	+
1	164110	165544	-
1	165777	167818	-
