52
0	2	0
129	266	3
444	536	141
8150	8264	234
16103	16152	349
17543	17688	399
18955	19126	545
19539	19613	717
20739	20841	792
22739	22794	895
24635	24688	951
25109	25172	1005
30082	30170	1069
35465	35548	1158
37086	37155	1242
39325	39431	1312
43487	43620	1419
44882	45016	1553
0	40	0
226	583	41
4884	4976	399
10515	10616	492
22094	22231	594
23284	23396	732
24222	24720	845
28104	28174	1344
28904	29033	1415
30383	30501	1545
31133	31246	1664
32666	32809	1778
38148	38198	1922
39527	39569	1973
40105	41640	2016
45403	45649	3552
46372	46461	3799
47598	47647	3889
0	110	0
435	983	111
1076	1324	660
0	327	0
8342	8436	328
17618	17716	423
18561	18671	522
19149	19292	633
20306	20482	777
22656	22747	954
23617	23646	1046
24453	24647	1076
30339	31257	1271
0	128	0
1564	1795	129
3838	3932	361
