1	9366	9491	+	1
1	9630	9806	+	1
1	9900	17512	+	1
1	17628	25465	+	1
1	25516	26905	+	1
1	27052	28317	+	1
1	28490	28901	+	1
1	28977	30101	+	1
1	30205	32101	+	1
1	32158	33997	+	1
1	34052	34471	+	1
1	34536	39444	+	1
1	39534	44827	+	1
1	44912	46448	+	1
1	46519	48687	+	1
1	48795	52849	+	1
1	52984	54244	+	1
1	67074	67258	+	2
1	67617	71916	+	2
1	72010	77547	+	2
1	77650	89126	+	2
1	89265	90316	+	2
1	90430	91254	+	2
1	91754	95136	+	2
1	95208	95936	+	2
1	96067	97415	+	2
1	97535	98165	+	2
1	98280	99698	+	2
1	99843	105180	+	2
1	105232	106559	+	2
1	106603	107137	+	2
1	108674	112435	+	2
1	112683	113404	+	2
1	113495	114630	+	2
1	124000	124323	+	3
1	124873	124964	+	3
1	128394	136407	+	4
1	136503	145683	+	4
1	145783	146626	+	4
1	146738	147214	+	4
1	147359	148371	+	4
1	148549	150721	+	4
1	150814	151682	+	4
1	151713	152518	+	4
1	152714	158404	+	4
1	164110	165544	-	5
1	165777	167818	-	5
