52
9362	9364	1	0	0
9491	9628	1	0	0
9806	9898	1	0	0
17512	17626	1	0	0
25465	25514	1	0	0
26905	27050	1	0	0
28317	28488	1	0	0
28901	28975	1	0	0
30101	30203	1	0	0
32101	32156	1	0	0
33997	34050	1	0	0
34471	34534	1	0	0
39444	39532	1	0	0
44827	44910	1	0	0
46448	46517	1	0	0
48687	48793	1	0	0
52849	52982	1	0	0
54244	54378	1	0	0
67032	67072	1	1	1
67258	67615	1	1	1
71916	72008	1	1	1
77547	77648	1	1	1
89126	89263	1	1	1
90316	90428	1	1	1
91254	91752	1	1	1
95136	95206	1	1	1
95936	96065	1	1	1
97415	97533	1	1	1
98165	98278	1	1	1
99698	99841	1	1	1
105180	105230	1	1	1
106559	106601	1	1	1
107137	108672	1	1	1
112435	112681	1	1	1
113404	113493	1	1	1
114630	114679	1	1	1
123888	123998	1	2	2
124323	124871	1	2	2
124964	125212	1	2	2
128065	128392	1	3	3
136407	136501	1	3	3
145683	145781	1	3	3
146626	146736	1	3	3
147214	147357	1	3	3
148371	148547	1	3	3
150721	150812	1	3	3
151682	151711	1	3	3
152518	152712	1	3	3
158404	159322	1	3	3
163980	164108	2	4	4
165544	165775	2	4	4
167818	167912	2	4	4
